TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
task,Cổng làm chủ Phase 2 — Data handling depth,"Input: toàn bộ Phase 2 và Project #2/#3 spec.

Việc làm: demo text/file processing robust, Unicode correctness, deterministic reports, error handling.

Output: demo checklist + gap remediation plan.

Done criteria: có thể giải thích array/slice/map/string/file từ first principles và bằng code thật.",,1,2,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Dự án đánh giá Phase 2 — Unicode File Report Toolkit @passrate @phase-project,"Vai trò: bài thi pass/fail cuối Phase 2. Chỉ bắt đầu khi đã học xong W4-W6.

Goal: chứng minh bạn xử lý array/slice/map/string/rune/file/input đủ chắc cho dữ liệu thật, không chỉ toy examples.

Input bắt buộc:
- W4: array value semantics, rendering/state model.
- W5: slice len/cap/backing array, filesystem traversal.
- W6: string/rune/byte, map deterministic output, input scanning.

Sản phẩm phải làm:
- CLI toolkit quét một folder input.
- Detect empty files, file size, line count, word/token count.
- Unicode-safe summary cho tiếng Việt/emoji.
- Map aggregation nhưng output phải sorted/stable.
- Interactive mode hỏi path/options và xử lý input sai.
- Xuất report dạng table hoặc JSON.

Passrate rubric — cần >= 85/100 để pass:
- Data correctness 30đ: đếm/scan đúng, Unicode không lỗi.
- Slice/map/file safety 25đ: không aliasing bug, không ignore filesystem errors, output deterministic.
- Tests 20đ: fixture folders + edge cases + go test ./... xanh.
- CLI ergonomics 15đ: prompt/error/report dễ đọc.
- Docs/Reflection 10đ: memo 10 bẫy slice/file/Unicode và cách tránh.

Fail nếu: dùng len(string) sai cho Unicode, map output random, hoặc scanner crash khi gặp permission/error.",,1,2,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
,,,,,,,,,,,,,,
section,"03 • Phase 3 — Functions, Structs, Interfaces, Design (Weeks 7–9)",,True,,,,,,,,,,,
task,"Phase 3 — Function, struct, interface và thiết kế Go (Tuần 7-9)","Nguồn: roadmap_final.md + roadmap_phase2.md + roadmap_phase3.md.

Mục tiêu: chuyển từ 'biết cú pháp' sang 'thiết kế API/package idiomatic Go': struct có invariant, receiver hợp lý, function contract rõ, interface nhỏ, pointer/value có lý do.

Input:
- learngo 24 structs, 25 functions, 26 pointers.
- advfuncs: function value, closure, higher-order function, defer.
- interfaces folder: methods, receivers, interfaces, type assertion/switch, io.Reader/io.Writer.

Output học tập:
- Domain package có constructor/validation/test.
- Function contract guideline.
- Pipeline composition module.
- Refactor Project #3 theo package boundary rõ.
- Decision log cho pointer/interface/API boundary.

Dự án pass phase:
- Dự án đánh giá Phase 3 — Idiomatic Go Package Design Audit.
- Phase chỉ pass khi dự án đạt >=85/100 theo rubric passrate.

Done criteria:
- Bảo vệ được lựa chọn value vs pointer receiver.
- Interface được đặt ở consumer side, không over-abstract kiểu Flutter service layer.
- Project #3 có test/perf baseline/docs/support matrix.
- Dự án đánh giá Phase 3 đạt passrate.",,1,1,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,"Sprint W7 — Struct, method, receiver và kiến trúc project (15-21/06)","Nguồn: roadmap_final.md, Phase 3/Tuần 7.

Mục tiêu tuần: thiết kế struct cho domain thật, hiểu constructor/validation/invariant, và chọn value vs pointer receiver có lý do.

Input:
- learngo: 24-structs.
- Ôn Project #3 File/Text Toolkit để refactor core struct.

Output:
- Domain package có entity/value object, constructor, validation method, tests.
- Decision matrix cho value receiver vs pointer receiver.
- Project #3 core engine: parser + analyzer + reporter layer.
- CLI wiring end-to-end với fixture data.
- Receiver-choice rubric bằng tiếng Việt.

Done criteria:
- Không tạo struct chỉ như DTO vô nghĩa; mỗi struct cần invariant rõ.
- Receiver choice phải giải thích được bằng mutation/copy cost/semantic ownership.
- Project #3 boundaries testable.",,2,2,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Khối W7-A (2 ngày) — Struct modeling cho domain thật,"Nguồn: learngo 24-structs.
Folder: `playground/w7/structs/`

**MỤC TIÊU:** Struct là vật mang bất biến (invariant), không chỉ là DTO.

---

**EX A — Struct cơ bản và constructor (30 phút)**
File: `01_filestat.go`
```go
package structs

// FileStat giữ thông tin một file.
// Invariant: Path không rỗng; Size >= 0.
type FileStat struct {
    Path     string
    Size     int64
    LineCount int
    Empty    bool
}

// NewFileStat là constructor có validation.
func NewFileStat(path string, size int64) (FileStat, error) {
    if path == """" {
        return FileStat{}, fmt.Errorf(""path cannot be empty"")
    }
    if size < 0 {
        return FileStat{}, fmt.Errorf(""size cannot be negative: %d"", size)
    }
    return FileStat{Path: path, Size: size, Empty: size == 0}, nil
}
```
❓ Zero value của `FileStat` là gì? Khi nào zero value hợp lệ?
❓ Trong Dart, bạn dùng gì thay constructor? Factory constructor / named params khác Go chỗ nào?
⚠️ Cố tình tạo lỗi: `NewFileStat("""", 100)` — thông báo gì?

---

**EX B — Embedding và composition (30 phút)**
File: `02_embed.go`
```go
type BaseInfo struct {
    Path    string
    ModTime time.Time
}

type TextFile struct {
    BaseInfo        // embed — không phải kế thừa!
    LineCount int
    Encoding  string
}

// Khởi tạo:
f := TextFile{
    BaseInfo: BaseInfo{Path: ""/a.txt"", ModTime: time.Now()},
    LineCount: 100,
}
fmt.Println(f.Path)  // promoted field — truy cập trực tiếp
```
❓ Embedding khác kế thừa (Dart `extends`) chỗ nào?
❓ Nếu `TextFile` và `BaseInfo` đều có field `Path` — truy cập `f.Path` trả field nào?

---

**EX C — Struct comparison (20 phút)**
File: `03_compare.go`
```go
// Struct comparable khi tất cả fields comparable
type Point struct{ X, Y int }
p1 := Point{1, 2}
p2 := Point{1, 2}
fmt.Println(p1 == p2)  // true

// Struct không comparable khi có slice/map field
type Report struct {
    Title string
    Items []string  // slice không comparable
}
// r1 == r2  // compile error!
```
❓ Kiểm tra `FileStat` có comparable không? Tại sao?
⚠️ Cố tình viết `r1 == r2` với struct có slice — đọc lỗi compiler.

---

**EX D — Domain struct cho Toolkit (30 phút)**
File: `04_domain.go`
Thiết kế struct cho toolkit của bạn:
```go
type WordReport struct {
    SourceFile string
    WordCount  map[string]int  // từ -> số lần xuất hiện
    TotalWords int
    UniqueWords int
}

type ScanResult struct {
    Files  []FileStat
    Errors []error  // lỗi không chết — tiếp tục scan
    Stats  struct {  // anonymous struct cho aggregate
        TotalBytes int64
        EmptyCount int
    }
}
```
❓ Tại sao `Errors []error` thay vì trả lỗi ngưng?
❓ Anonymous struct trong field: dùng khi nào so với định nghĩa struct riêng?

---

**BUG DIARY:** Ghi lại: struct nào có nil map/slice field khi zero value?

**Output:** `structs` package với 4 files + constructor test.

**Done criteria:** constructor validate được; test thấy rõ invariant bị vi phạm.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,"Khối W7-B (2 ngày) — Method, receiver và ownership","Folder: `playground/w7/receivers/`

**MỤC TIÊU:** Mỗi method chọn T hay *T phải có lý do — không phải vị suy ngẫm.

---

**EX A — Value receiver — pure calculation (20 phút)**
File: `01_value_receiver.go`
```go
type Temperature struct {
    Celsius float64
}

// Value receiver: không mutate, chỉ tính toán
func (t Temperature) Fahrenheit() float64 {
    return t.Celsius*9/5 + 32
}

func (t Temperature) String() string {
    return fmt.Sprintf(""%.1f°C"", t.Celsius)
}
```
❓ Nếu bạn dùng `*Temperature` cho `Fahrenheit()` — có sai không? Tác hại?
❓ Dart: `final double get fahrenheit => celsius * 9/5 + 32` — thiết kế này tương đương go?

---

**EX B — Pointer receiver — mutation (20 phút)**
File: `02_pointer_receiver.go`
```go
type Counter struct {
    count int
}

// Pointer receiver: thay đổi trạng thái!
func (c *Counter) Increment() {
    c.count++
}

func (c *Counter) Reset() {
    c.count = 0
}

// Value receiver: chỉ đọc
func (c Counter) Value() int {
    return c.count
}
```
⚠️ Cố tình: dùng value receiver cho Increment:
```go
func (c Counter) IncrementWrong() {
    c.count++  // thay đổi bản sao, không có hiệu lực!
}
```
Test để thấy khác biệt.

---

**EX C — Decision matrix (30 phút)**
File: `03_decision.md`
```markdown
| Criteria         | Value receiver | Pointer receiver |
|------------------|---------------|------------------|
| Mutate struct    | ❌           | ✅              |
| Large struct copy | slow         | fast             |
| Nil check cần  | không         | có thể cần     |
| Interface mới  | T/°T hiểu làm | cẩn thận      |
| Consistency rule | mix = confusion | chọn 1 loại cho 1 type |
```
❓ Khi nào consistency quan trọng hơn lý do kỹ thuật?
❓ `FileStat` trong project: nên dùng T hay *T? Tại sao?

---

**EX D — Refactor Project #3 receivers (30 phút)**
Thiết kế method cho `FileStat` đúng:
```go
func (f FileStat) IsEmpty() bool { ... }    // value: pure check
func (f FileStat) SizeKB() float64 { ... }  // value: calc
func (f *FileStat) SetLineCount(n int) { ... } // pointer: mutate
```
Vinh giải thích từng chọn trong comment.

---

**Output:** 3 Go files + decision.md + refactor diff

**Done criteria:** giải thích được T vs *T cho mọi method trong project.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Dự án #3 Part 1 (2 ngày) — Core engine File/Text Toolkit,"Folder: `projects/p3-text-toolkit/`

**MỤC TIÊU:** Xây 3 layer rõ — parser/analyzer/reporter — test được độc lập.

---

**BƯỚC 1 — Phân tách layer (30 phút)**
Chức năng mỗi package:
```
projects/p3-text-toolkit/
  finder/    — đi tìm file, trả []FileStat (không biết report)
  analyzer/  — nhận []FileStat, phân tích content (không biết finder)
  reporter/  — nhận kết quả analysis, format output
  cli/       — wire các layer lại, xử lý flags
```
❓ Tại sao `finder` không gọi `reporter`?
❓ Dart: Flutter's feature-layer structure (`feature/data/domain/presentation`) — tương đồng chỗ nào?

---

**BƯỚC 2 — Implement `finder` package (45 phút)**
```go
// finder/finder.go
package finder

type Result struct {
    Stat FileStat
    Err  error  // non-fatal error — tiếp tục scan
}

func Scan(root string) ([]Result, error) {
    // dùng filepath.WalkDir
    // lỗi permission: thêm vào Result.Err, không dừng
    // lỗi fatal (root không tồn): trả error thắng
}
```
Test với `t.TempDir()`:
```go
func TestScanFindsEmpty(t *testing.T) {
    dir := t.TempDir()
    os.WriteFile(filepath.Join(dir, ""empty.txt""), nil, 0644)
    os.WriteFile(filepath.Join(dir, ""full.txt""), []byte(""hello""), 0644)
    
    results, err := finder.Scan(dir)
    // kiểm tra: 2 results, 1 empty, 1 non-empty
}
```

---

**BƯỚC 3 — Implement `analyzer` package (45 phút)**
```go
// analyzer/analyzer.go
type Summary struct {
    TotalFiles  int
    EmptyCount  int
    TotalBytes  int64
    WordFreq    map[string]int  // sorted khi in
    UniqueWords int
}

func Analyze(results []finder.Result) Summary {
    // aggregate stats
    // count words trong non-empty files
    // unicode-safe: dùng strings.Fields + strings.ToLower
}
```

---

**Output:** `finder` + `analyzer` package test độc lập.

**Done criteria:** `finder.Scan` và `analyzer.Analyze` test được không cần CLI; lỗi permission không dừng toàn bộ scan.",,2,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Dự án #3 Part 2 (1 ngày) — Integration checkpoint,"Folder: `projects/p3-text-toolkit/`

**MỤC TIÊU:** Nối 3 layer thành CLI chạy được end-to-end.

---

**BƯỚC 1 — Implement `reporter` package (30 phút)**
```go
// reporter/reporter.go
package reporter

func PrintTable(w io.Writer, summary analyzer.Summary) {
    fmt.Fprintf(w, ""Total files: %d\n"", summary.TotalFiles)
    fmt.Fprintf(w, ""Empty files: %d\n"", summary.EmptyCount)
    fmt.Fprintf(w, ""Total bytes: %d\n"", summary.TotalBytes)
    
    // Word frequency: sort by count desc, then alpha
    keys := make([]string, 0, len(summary.WordFreq))
    for k := range summary.WordFreq { keys = append(keys, k) }
    sort.Strings(keys)
    fmt.Fprintln(w, ""\nWord frequency:"")
    for _, k := range keys {
        fmt.Fprintf(w, ""  %s: %d\n"", k, summary.WordFreq[k])
    }
}
```
❓ Tại sao nhận `io.Writer` thay vì in thẳng ra `os.Stdout`?
❓ Khi nào dùng `os.Stdout` trực tiếp và khi nào nhận `io.Writer`?

---

**BƯỚC 2 — Wire CLI (30 phút)**
```go
// cli/main.go
func main() {
    if len(os.Args) < 2 {
        fmt.Fprintln(os.Stderr, ""usage: toolkit <folder>"")
        os.Exit(1)
    }
    
    results, err := finder.Scan(os.Args[1])
    if err != nil {
        fmt.Fprintf(os.Stderr, ""error: %v\n"", err)
        os.Exit(1)
    }
    
    summary := analyzer.Analyze(results)
    reporter.PrintTable(os.Stdout, summary)
    
    // In non-fatal errors
    for _, r := range results {
        if r.Err != nil {
            fmt.Fprintf(os.Stderr, ""warn: %v\n"", r.Err)
        }
    }
}
```

---

**BƯỚC 3 — End-to-end test (20 phút)**
```bash
# Tạo fixture folder
mkdir -p testdata/fixture
echo ""hello world"" > testdata/fixture/a.txt
echo """" > testdata/fixture/empty.txt
printf ""chào thế giới"" > testdata/fixture/vn.txt

# Chạy
go run ./cli testdata/fixture
# Expected: 3 files, 1 empty, word freq sorted...
```

---

**Output:** end-to-end CLI chạy với fixture data.

**Done criteria:** input lỗi in ra stderr; kết quả ra stdout; fixture test pass.",,2,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Ngày phục hồi W7 — Cleanup struct/API,"**MỤC TIÊU:** Dọn API trước khi sang W8 — không mang nợ thiết kế sang.

---

**CHECKLIST (làm theo thứ tự):**

**1. Struct invariant audit (20 phút)**
Mỗi struct trong project trả lời:
- Invariant của struct này là gì?
- Constructor có validate không?
- Zero value có hợp lệ không?

**2. Receiver consistency check (15 phút)**
Viết danh sách mọi method trong project:
```
FileStat.IsEmpty()      — value (✅ pure check)
FileStat.SetLineCount() — pointer (✅ mutation)
FileStat.Size()         — value (✅ calc)
Report.Add()            — pointer (✅ mutation)
```
Nếu tìm thấy một type dùng cả T và *T — sửa.

**3. Reproduce struct embedding từ trí nhớ (15 phút)**
Không nhìn code:
```go
// Viết lại TextFile embed BaseInfo
// Promoted field hoạt động như thế nào?
// Shadow field xảy ra khi nào?
```

**4. Self-quiz 5 câu (15 phút)**
1. Struct nào không comparable? Tại sao?
2. Pointer receiver cần thiết khi nào? List 3 trường hợp.
3. Zero value của `FileStat` — field `Path` là gì?
4. Anonymous struct vs named struct — chọn khi nào?
5. `NewFileStat` trả `(FileStat, error)` thay vì `*FileStat` — tại sao?

---

**Output:** receiver consistency list + 3 fixes nếu có + quiz answers.

**Done criteria:** không có type dùng cả T và *T receiver không có lý do; constructor validate.",,2,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Tổng kết W7 — Rubric chọn receiver,"**MỤC TIÊU:** Viết rubric chọn receiver để review code sau này.
File: `notes/w7-receiver-rubric.md`

---

**Cấu trúc rubric:**

```markdown
# Rubric chọn Receiver (T vs *T)

## 1. Mutation?
- Có thay đổi field: *T (bắt buộc)
- Chỉ đọc: T (prefer)

## 2. Large struct?
- Struct > 3-4 field hoặc có array/slice lớn: *T tránh copy
- Struct nhỏ (Point, Size): T OK

## 3. Nil semantics?
- Cần nil check (optional state): *T
- Không bao giờ nil: T

## 4. Interface và method set
- Method trên T: cả T và *T gọi được
- Method trên *T: chỉ *T gọi được
- Nếu implement interface cần *T — dùng *T nhất quán

## 5. Consistency rule (QUAN TRỌNG NHẤT)
- Một type nên dùng 1 loại receiver nhất quán
- Mix T và *T gây rối cả người dùng lẫn Go compiler

## Áp dụng cho File/Text Toolkit
| Type     | Receiver | Lý do |
|----------|----------|---------|
| FileStat | T        | nhỏ, immutable sau khi tạo |
| Summary  | *T       | accumulate — mutation |
| Counter  | *T       | state mutation |
```

---

**Output:** `notes/w7-receiver-rubric.md` hoàn chỉnh.

**Done criteria:** rubric đủ để review method mới mà không tranh luận cảm tính.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Sprint W8 — Function contract và advanced functions (22-28/06),"Nguồn: roadmap_final.md, Phase 3/Tuần 8.

Mục tiêu tuần: xem function như contract, không chỉ là đoạn code; biết dùng closure/higher-order/defer đúng chỗ để tăng composability mà không làm rối API.

Input:
- learngo: 25-functions.
- advfuncs: function values, closures, higher-order funcs, variadic funcs, defer.

Output:
- Function contract guidelines: naming, params, return values, error-first style, multiple return.
- Pipeline composition module dùng lại trong Project #3.
- Table-driven tests, fuzz-like random input tests, micro-benchmark cho hot paths.
- Project #3 v1.0 release với docs/examples/troubleshooting.
- Function contract audit: fix top 3 inconsistencies.

Done criteria:
- Function signature đọc lên hiểu được trách nhiệm và lỗi có thể trả về.
- Defer/closure không tạo bug capture hoặc che giấu flow.
- go test ./... và benchmark baseline có kết quả ghi lại.",,2,2,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Khối W8-A (2 ngày) — Function như contract,"Nguồn: learngo 25-functions.
Folder: `playground/w8/functions/`

**MỤC TIÊU:** Function signature là contract — đọc lên hiểu trách nhiệm và lỗi có thể xảy ra.

---

**EX A — Multiple return và error-first style (25 phút)**
File: `01_multi_return.go`
```go
package functions

import (
    ""fmt""
    ""strconv""
)

// ParsePositive parse string, chỉ chấp nhận giá trị dương.
// contract: nếu lỗi, caller không dùng result
func ParsePositive(s string) (int, error) {
    n, err := strconv.Atoi(s)
    if err != nil {
        return 0, fmt.Errorf(""ParsePositive(%q): %w"", s, err)
    }
    if n <= 0 {
        return 0, fmt.Errorf(""ParsePositive: got %d, want > 0"", n)
    }
    return n, nil
}
```
❓ Tại sao trả `0` thay vì `-1` khi lỗi?
❓ `%w` trong `fmt.Errorf` — khác `%v` chỗ nào? (gợi ý: `errors.Is`)

---

**EX B — Named return: khi hợp lệ, khi phá hoại (20 phút)**
File: `02_named_return.go`
```go
// Named return RO BIỂT: chỉ khi có defer cần ghi
func OpenAndRead(path string) (content []byte, err error) {
    f, err := os.Open(path)
    if err != nil { return }  // naked return — rõ khi named
    defer func() {
        if cerr := f.Close(); cerr != nil && err == nil {
            err = cerr  // capture close error qua named return
        }
    }()
    return os.ReadFile(path)
}

// Named return TỆ, TRÁNH:
func BadNamed() (result int, err error) {
    // code dài, naked return làm khó đọc
    result = compute()
    return  // người đọc không biết result và err là gì!
}
```
❓ Khi nào named return thực sự cần thiết? List 2 trường hợp.

---

**EX C — Variadic function (15 phút)**
File: `03_variadic.go`
```go
// Variadic: nhận 0-n args cùng type
func SumAll(nums ...int) int {
    total := 0
    for _, n := range nums { total += n }
    return total
}

// Spread slice vào variadic:
nums := []int{1, 2, 3}
result := SumAll(nums...)  // dấu ... để spread
```
❓ Dart: `void f(int a, [int b = 0])` vs Go variadic — khác chỗ nào?

---

**EX D — Function contract guideline (30 phút)**
File: `04_contract_guide.md`
```markdown
# Function Contract Checklist

## Naming
- Động từ: `Parse`, `Validate`, `Find`, `Build`
- Tránh: `DoStuff`, `Process`, `Handle` (quá chung)

## Parameters
- Nhóm params liên quan: struct thay vì nhiều params rời
- > 3 params: cân nhắc options struct

## Return values
- Lỗi luôn là giá trị cuối
- Zero value khi lỗi — không trả giá trị random
- Named return: chỉ khi defer cần capture

## Error shape
- Wrap với context: `fmt.Errorf(""funcName(%q): %w"", input, err)`
- Sentinel error để so sánh: `var ErrNotFound = errors.New(""not found"")`
```

---

**Output:** 3 Go files + contract_guide.md.

**Done criteria:** đọc signature đoán được responsibility; error wrap dùng `%w`.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Khối W8-B (2 ngày) — advfuncs và higher-order pattern,"Nguồn: advfuncs folder trong learngo.
Folder: `playground/w8/advfuncs/`

**MỤC TIÊU:** Hiểu function như value, closure capture, defer ordering — tránh bug tối.

---

**EX A — Function như value và function type (20 phút)**
File: `01_functype.go`
```go
package advfuncs

// Function type là type hợp lệ trong Go
type Transform func(string) string

func Apply(s string, fn Transform) string {
    return fn(s)
}

// Dùng:
result := Apply(""hello"", strings.ToUpper)  // function value
result2 := Apply(""world"", func(s string) string {
    return s + ""!""
})
```
❓ Dart: `typedef Transform = String Function(String)` — tương đương.
❓ Điệu gì xảy ra nếu pass `nil` vào `Apply`?

---

**EX B — Closure capture (30 phút)**
File: `02_closure.go`
```go
// Bug cổ điển: capture loop variable
funcs := make([]func(), 5)
for i := 0; i < 5; i++ {
    i := i  // Shadow! Tạo biến mới trong mỗi lần lặp
    funcs[i] = func() { fmt.Println(i) }
}
for _, f := range funcs { f() }  // in 0,1,2,3,4 sau khi fix

// ⚠️ Không shadow: in gì?
funcs2 := make([]func(), 5)
for i := 0; i < 5; i++ {
    funcs2[i] = func() { fmt.Println(i) }  // tất cả in 5!
}
```
❓ Tại sao `funcs2` in 5 lần `5`?
❓ Dart lờ: closure trong for-loop cũng có vấn đề này không?

---

**EX C — Defer ordering (20 phút)**
File: `03_defer.go`
```go
func example() {
    fmt.Println(""start"")
    defer fmt.Println(""first defer"")   // chạy sau cùng
    defer fmt.Println(""second defer"")  // chạy trước
    defer fmt.Println(""third defer"")   // chạy đầu tiên
    fmt.Println(""end"")
}
// Output: start, end, third, second, first
```
❓ Defer là LIFO (stack) — ứng dụng: resource cleanup!
❓ `defer f.Close()` ngay sau khi mở file — tại sao pattern này an toàn?

---

**EX D — Higher-order pipeline (30 phút)**
File: `04_pipeline.go`
```go
// Pipeline: xuốt đầu ra qua nhiều bước
type Step func([]string) []string

func Pipeline(input []string, steps ...Step) []string {
    result := input
    for _, step := range steps {
        result = step(result)
    }
    return result
}

// Dùng trong toolkit:
result := Pipeline(
    files,
    FilterEmpty,    // bỏ qua file rỗng
    FilterByExt("".txt""),  // chỉ .txt (closure trả Step)
    SortBySize,     // sort
)
```

---

**Output:** 4 files + closure bug demo.

**Done criteria:** tránh closure capture bug; defer LIFO hiểu; pipeline composable.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Dự án #3 Test/Perf (2 ngày) — Harden quality gates,"Folder: `projects/p3-text-toolkit/`

**MỤC TIÊU:** Test cover edge case; benchmark đo hoắt path.

---

**BƯỚC 1 — Table-driven tests (30 phút)**
```go
// finder_test.go: table-driven test
func TestScan(t *testing.T) {
    tests := []struct {
        name    string
        setup   func(dir string)  // tạo files
        want    int               // số files mong đợi
        wantEmpty int
    }{
        {""empty dir"", func(d string) {}, 0, 0},
        {""one file"", func(d string) {
            os.WriteFile(filepath.Join(d, ""a.txt""), []byte(""hi""), 0644)
        }, 1, 0},
        {""one empty"", func(d string) {
            os.WriteFile(filepath.Join(d, ""e.txt""), nil, 0644)
        }, 1, 1},
    }
    for _, tc := range tests {
        t.Run(tc.name, func(t *testing.T) {
            dir := t.TempDir()
            tc.setup(dir)
            results, err := finder.Scan(dir)
            // assert
        })
    }
}
```

---

**BƯỚC 2 — Random input test (20 phút)**
```go
// analyzer_test.go: random words
func TestWordCountNocrash(t *testing.T) {
    inputs := []string{
        """",
        ""a"",
        ""chào thế giới"",  // Unicode
        strings.Repeat(""x "", 10000),  // lớn
        ""line1\nline2\nline3"",  // multi-line
    }
    for _, in := range inputs {
        t.Run(fmt.Sprintf(""input=%q"", in[:min(len(in), 20)]), func(t *testing.T) {
            // không được panic
            summary := analyzer.AnalyzeText(in)
            if summary.TotalWords < 0 {
                t.Errorf(""negative word count"")
            }
        })
    }
}
```

---

**BƯỚC 3 — Micro-benchmark (20 phút)**
```go
// Benchmark: đo hoạt path
func BenchmarkAnalyzeText(b *testing.B) {
    text := strings.Repeat(""the quick brown fox "", 1000)
    b.ResetTimer()
    for i := 0; i < b.N; i++ {
        analyzer.AnalyzeText(text)
    }
}
```

```bash
go test -bench=. -benchmem ./...
# Ghi lại: ns/op, B/op, allocs/op
```

---

**Output:** table-driven tests + random tests + benchmark results.

**Done criteria:** coverage >70%; benchmark ghi số liệu thực; test có Unicode input.",,2,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Dự án #3 Ship (1 ngày) — Release File/Text Toolkit v1.0,"Folder: `projects/p3-text-toolkit/`

**MỤC TIÊU:** Release toolkit với docs đủ để người khác dùng.

---

**BƯỚC 1 — Viết README.md (30 phút)**
```markdown
# File/Text Toolkit

## Quick Start
```bash
go run ./cli <folder>         # scan folder
go run ./cli -words <folder>  # include word frequency
```

## Commands
| Flag    | Default | Mô tả |
|---------|---------|---------|
| (none)  | .       | scan current dir |
| -words  | false   | in word freq |
| -json   | false   | output JSON |

## Examples
```bash
go run ./cli testdata/fixture
Total files: 3, Empty: 1, Bytes: 1024
```

## Known Limits v1.0
- Không theo dõi symlinks
- Mắc định scan tất cả file kông filter extension
- Word count: chỉ split by whitespace
```

---

**BƯỚC 2 — git tag v1.0 + CHANGELOG (20 phút)**
```bash
git add .
git commit -m ""feat: File/Text Toolkit v1.0""
git tag v1.0

# CHANGELOG.md
echo ""## v1.0 ($(date +%Y-%m-%d))
- finder: scan folder, detect empty files
- analyzer: word freq, Unicode-safe
- reporter: table output
- cli: flags -words -json"" > CHANGELOG.md
```

---

**BƯỚC 3 — Retrospective 10 bài học (20 phút)**
File: `notes/p3-retrospective.md`
Viết 10 điểm (mỗi điểm 2 dòng): đã học được gì, sai ở đâu, refactor nào cố ý chưa làm.

---

**Output:** README.md + CHANGELOG + v1.0 tag + retrospective.

**Done criteria:** người khác chạy theo README không cần hỏi thêm; retrospective có ít nhất 3 sai lầm cụ thể.",,2,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Ngày phục hồi W8 — Reset function contracts,"**MỤC TIÊU:** Function và closure không có lỗi tiềm ẩn trước khi sang W9.

---

**CHECKLIST:**

**1. Refine function signatures (20 phút)**
Viết lại 5 function tùy tiện nhất trong project với format:
```
[Tênclũ] vs [Tìnmới]
[Lý do]
```
Tiêu chí: có động từ rõ, params nhỏ, error là cuối.

**2. Error shape consistency (15 phút)**
```go
// Kiểm tra: tất cả error trong project dùng %w chưa?
var ErrNotFound = errors.New(""not found"")

// Đúng:
return fmt.Errorf(""findFile(%q): %w"", path, os.ErrNotExist)
// Sai:
return fmt.Errorf(""file not found: "" + path)  // không wrap
```
Fix các error không wrap.

**3. Remove functions đa nhiệm (15 phút)**
Tiêu chí: function làm quá 2 việc — tách ra.
Ví dụ: `ParseAndValidate` → `Parse` + `Validate` riêng biệt.

**4. Self-quiz (15 phút)**
1. Closure capture lỗi khi dùng loop variable — fix bằng cách nào?
2. `defer` chạy trước hay sau `return`?
3. Named return: khi nào nên dùng? Khi nào tránh?
4. `%w` vs `%v` trong `fmt.Errorf` — khác chỗ nào?
5. Variadic `...T` khác `[]T` chỗ nào?

---

**Output:** 5 signature refactors + error fix + quiz answers.

**Done criteria:** không có function tên mơ hồ; error dùng %w; closure bug không còn.",,2,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Tổng kết W8 — Audit function contract,"**MỤC TIÊU:** Audit function contracts trong Project #3 — top 3 inconsistencies.
File: `notes/w8-function-audit.md`

---

**Format audit:**
```markdown
## Function Audit Report — P3 Text Toolkit

### Đánh giá từng function
| Function | Contract rõ | Error wrap | Single responsibility | Đánh giá |
|----------|------------|------------|----------------------|-----------|
| finder.Scan | ✅ | ✅ | ✅ | OK |
| analyzer.Analyze | ✅ | ✅ | ... | ... |

### Top 3 Inconsistencies tìm thấy
1. [Function]: [vấn đề] → [fix]
2. ...
3. ...

### Sau khi fix
- Signatures dùng cùng error format
- Không có function hơn 30 dòng không nhất thiết
- Named return chỉ dùng khi defer cần
```

---

**3 điểu cần kiểm tra:**
1. Mọi error return có wrap context (`%w`)
2. Không có function có > 2 trách nhiệm
3. Variadic dùng đúng cách, không phải làm cho ""flexible"" ồn

---

**Output:** `notes/w8-function-audit.md` với 3 fixes commit.

**Done criteria:** mọi function trong project pass audit checklist.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
